#54001: 	#ame Thunder over the jungle
#54002: 	#ame Another day, another morning, another reconnaissance mission. Get up, you have a long journey ahead!
#54003: 	#ame March 1, 1967, 0515 a.m.
#54004: 	#ame Cambodia, near the Ho-Chi-Minh Trail 
#54005: 	#ame March 1, 1967, 0530 a. m.
#54006: 	#ame Jungle in South Vietnam, close to the Cambodian border
#54007: 	#ame Thunder over the jungle
#54008: 	#ame An American plane has crashed nearby. The pilot must be found before the Vietcong can get him. Go, go, go, soldiers!
#54009: 	#ame Check the crash site
#54010: 	#ame Find the pilot
#54011: 	#ame Take the pilot to the landing zone
#54012: 	#ame Fly with the entire team and the rescued pilot to the base
#54014: 	#ame Rescue the captured pilot
#54015: 	#ame Blow up the cache
#54016: 	#ame to untie the pilot
#54017: 	#ame Thunder over the jungle
#54018: 	#ame Wrecked plane, pilot nowhere to be seen. He was parachuting nearby, look for him, soldiers!
#54019: 	#ame Thunder over the jungle
#54020: 	#ame The jungle is swarming with the Vietcong, this rescue mission will surely be interesting! Hurry or the enemy will get to the pilot first!
#54021: 	#ame Thunder over the jungle
#54022: 	#ame Charlie’s nest is here, all the VC have swarmed out of it like ants! But you still have to complete the task – find the pilot!
#54023: 	#ame Thunder over the jungle
#54024: 	#ame You found the parachute hanging on the tree but the pilot is nowhere to be seen. It looks like the enemy found him. You have to find and rescue him immediately!
#54025: 	#ame Thunder over the jungle
#54026: 	#ame The pilot of the shot-down Thunderchief is held captive by a Vietcong group. Do you know what that means, soldier? A rescue operation! You must rescue the pilot immediately!
#54027: 	#ame Thunder over the jungle
#54028: 	#ame Good job, the pilot is safe for now. Now you need to find a suitable spot for landing and call the chopper. So, get going, soldiers!
#54029: 	#ame Thunder over the jungle
#54030: 	#ame The pilot was rescued. You must now take him to the landing zone, wait for the chopper and the mission will be complete.
#54031: 	#ame Thunder over the jungle
#54032: 	#ame Charlie has a den in the jungle around here. But don’t let that distract you. Proceed to the landing zone.
#54033: 	#ame Thunder over the jungle
#54034: 	#ame You found a landing zone, now you need to wait for the chopper to pick you up!
#54035: 	#ame to check the pilot
#54083: 	#ame You are heading toward the Vietcong position near the Jarai village. Lim the hunter will lead you. Go for it, soldiers!
#54084: 	#ame Hanging Bridge
#54085: 	#ame The bridge has been stripped of all enemy defenses. Now it must be destroyed.
#54086: 	#ame Hanging Bridge
#54087: 	#ame The bridge is now at the bottom of the gorge. Now is the time to head to the LZ so the Slick can airlift you out!
#54088: 	#ame Hanging Bridge
#54089: 	#ame A group of Vietcong failed in their attempt to attack you. Now you need to transfer to LZ Echo Zulu and wait to be airlifted out!
#54090: 	#ame Hanging Bridge
#54091: 	#ame You are waiting near the LZ …. The Slick is on the way!
	
	
	
	
#54101: 	#ame Operation Pandora's Box
#54102: 	#ame The Vietcong supposedly have a small factory and storage area beneath the old temple. It’s time to remove Charlie from their den!
#54103: 	#ame April 28, 1967 - 1900
#54104: 	#ame Old temple in Ai Tu near the Cambodian border
#54105: 	#ame Suppress enemy resistance from the chopper.
#54106: 	#ame Explore the underground factory beneath the temple.
#54107: 	#ame Eliminate all remaining VC.
#54108: 	#ame Operation Pandora's Box
#54109: 	#ame Charlie is confused and for the most part shot to hell by that deadly fire from heaven. It’s time to get down and clean up! We’ve landed so, let’s go!
#54110: 	#ame Obtain intelligence information.
#54111: 	#ame to take the pile of papers.
#54112: 	#ame Operation Pandora's Box
#54113: 	#ame The temple is clear, at least on the surface. Now you need to explore the underground section and then get out of there!
#54114: 	#ame Operation Pandora's Box
#54115: 	#ame The temple is clean, the mission completed and you have plenty of documents stashed in your pockets. The Slick's are on their way, so adios!
#54116: 	#ame Blow the temple gate with C4
#54117: 	#ame to place C4 on the gate
	
	
	
#54130: 	#ame Nui Pek under attack
#54131: 	#ame It looks like Charlie’s preparing to pay us a visit even though we’re not fully prepared for his welcome. But I don’t think he’ll be disappointed. Hold your position! They won’t pass!
#54132: 	#ame May 15, 1967, 0430
#54151: 	#ame Special Forces Nui Pek base
#54133: 	#ame Hold your position, do not let the enemy inside the base.
#54134: 	#ame As soon as the cover mortar shelling starts, retreat back to the base.
#54135: 	#ame Get ready. As soon as shells start falling in front of your bunker it’s time to get your ass back to base.
#54136: 	#ame Nui Pek under attack
#54137: 	#ame The forward post can’t be held any longer, the VC have their mortars targeted on it. Prepare for covering fire and quickly retreat back to base.
#54138: 	#ame Walk with Bronson through the mine field.
#54139: 	#ame Destroy enemy mortars in the forest.
#54140: 	#ame Nui Pek under attack
#54141: 	#ame Enemy mortars hidden somewhere at the foot of the hill are taking their toll. It’s time to destroy them. You’ll walk with Bronson through the mine field, walk around the enemy and get behind them. MOVE IT, MOVE IT!
#54142: 	#ame Slowly follow Bronson's path, otherwise you may step on a mine!
#54143: 	#ame You have placed C4 explosives which will detonate in thirty seconds. You’d better move!
#54144: 	#ame Bronson has placed C4 explosives which will detonate in thirty seconds. You’d better stay clear of the mortar!
#54145: 	#ame Nui Pek under attack
#54146: 	#ame You made it through the mine field. You now need to carefully crawl to the mortar post's and destroy them.
#54147: 	#ame Kill the retreating enemy.
#54148: 	#ame Retreat back to the base to captain Rosenfield.
#54149: 	#ame Nui Pek under attack
#54150: 	#ame The mortars have been destroyed. The enemy is exhausted by their futile attacks, and the destruction of the mortars behind their own backs has demoralized them, so much so, that they’re starting to retreat. Take up positions and make Charlie pay for his impudence.
#54152: 	#ame to place the c4 in the mortar
	
	
	
#54160: 	#ame Death valley
#54161: 	#ame We have a big day ahead of us men. The time has come to pay Charlie a visit at his own house and kick his ass! Enemy artillery positions hidden in the jungle already await you. And unless we make our move now they are going to blow our base to bits!
#54162: 	#ame May 16, 1967, 1530
#54163: 	#ame Near a hidden North-Vietnamese army base in Cambodia 
#54164: 	#ame May 16, 1967, 1700
#54165: 	#ame Near the North-Vietnamese cannon firing position 
#54166: 	#ame Take out the radio in the command bunker
#54167: 	#ame Don’t get caught until the radio is destroyed 
#54168: 	#ame to destroy Vietnamese radio
#54169: 	#ame Destroy howitzer no. 1 
#54170: 	#ame Destroy howitzer no. 2
#54171: 	#ame The C4 charge is set to explode in 30 seconds. It would be wise to stand back unless you want to lose a body part!
#54172: 	#ame The C4 charge must be placed exactly right to destroy the cannon. Bronson knows how and where. Order him to come and then by clicking again on the cannon order him to place the explosive. 
#54173: 	#ame Field guns battery
#54174: 	#ame Okay, you are near your target - the firing positions of two NVA howitzers. First you must sneak up to their headquarters and destroy their radio, for obvious reasons.
#54175: 	#ame Field guns battery
#54176: 	#ame The radio guarding the howitzers has been destroyed. With a bit of luck the VC will not report this to the others. So it’s time to blast those cannons.
#54177: 	#ame Field guns battery
#54178: 	#ame One howitzer is destroyed. Now it’s time to destroy the second. So move soldiers! You ain’t got much time!
#54179: 	#ame Move to where the final strike is going to take place 
#54180: 	#ame Field guns battery
#54181: 	#ame Both howitzers have been destroyed. The enemy is confused and doesn’t know what is going on. But we still have one more surprise for Charlie! Move carefully and quietly to the main body of the base. The final strike draws near.
#54182: 	#ame to give Bronson the order to place the explosive
#54183: 	#ame Get close to the artillery post.
#54184: 	#ame Do not let the enemy sound the alarm.
#54185: 	#ame Preventive strike
#54186: 	#ame Carefully and quietly go through the jungle filled with enemy troops to the artillery post. You must not be seen!
	
	
	
	
	
	
#54190: 	#ame Kill the enemy operating the machine gun posts.
#54191: 	#ame Kill the enemy operating the anti-aircraft machine guns.
#54192: 	#ame Do not sound the alarm!
#54193: 	#ame Burn the jungle
#54194: 	#ame The cannons are destroyed. Let’s get ready for some fun! But first you have to destroy the enemy operating the machine gun posts.
#54195: 	#ame to place the C4 explosives on the tanker
#54196: 	#ame to take the papers from the desk
#54198: 	#ame Retreat and join the others at the LZ.
#54199: 	#ame Two weeks after this very successful mission for which SFC Douglas was awarded the Silver Star, team A-216 completed an important mission against the Vietcong tax collectors.
#54200: 	#ame The mission was successful however, sergeant Douglas was shot and killed by a Vietcong sniper.
#54201: 	#ame Burn the jungle
#54202: 	#ame The machine gun posts are clean. It’s time to storm in, kill the commander, and see if he had anything interesting in his office. Then blow it all up.
#54203: 	#ame Kill the commander
#54204: 	#ame Collect intelligence materials from the NVA commander’s office
#54205: 	#ame Blow up the fuel storage
#54206: 	#ame Burn the jungle
#54207: 	#ame The chopper is on its way, you have to wait for it.
#54208: 	#ame Wait for the evacuation chopper and fly away.
#54209: 	#ame Burn the jungle
#54210: 	#ame The chopper is landing! Hang on!
	
	
#54500: 	#ame Nguyen
#54501: 	#ame Lim the hunter
#54502: 	#ame Soldier
	
#53100: 	#ame Thunder over the jungle
#53101: 	#ame A non-eventful patrol around the jungle changes to intense action when bomber crashes nearby!
#53102: 	#ame Operation Golden Gift
#53103: 	#ame The visit to the montagnard village seems peaceful at the first, but the Vietcong is hidden somewhere near for sure.
#53104: 	#ame Hanging Bridge
#53105: 	#ame The Vietcong has a nest nearby, possibly located near the bridge across the gorge. Find and Destroy!
#53106: 	#ame Operation Pandora's Box
#53107: 	#ame The Vietcong have a nice small factory under an old temple, this is where they're busy constructing more damned traps. Storm the temple, kill the Vietcong and destroy the factory.
#53108: 	#ame Nui Pek under attack
#53109: 	#ame Charlie is bringing the fight to us and has decided to attack our base. Hold positions and do not let the base fall to the enemy!
#53110: 	#ame Death valley
#53111: 	#ame Lead your team through the jungle of the Cambodian border.
#53112: 	#ame Field guns battery
#53113: 	#ame You are now near the NVA howitzers. Destroy their radio communications and plant some C4 on the howitzers!
#53114: 	#ame Burn the jungle
#53115: 	#ame 
You are in the centre of the enemy base. Deploy your soldiers, sneak inside, kill the NVA colonel and raise everything to the ground!

#53116: 	#ame Prologue
#53117: 	#ame Cinematics: F105 flying over the jungle.
#53118: 	#ame Day in Plei Ku
#53119: 	#ame Cinematics: Briefing for "Golden Gift"
#53120: 	#ame Day on Nui Pek
#53121: 	#ame Cinematics: Briefing for "Pandora's Box"
#53122: 	#ame Nui Pek after attack
#53123: 	#ame Cinematics: Briefing for "Fist Alpha"
#53124: 	#ame Operation Fist Alpha
#53125: 	#ame Cinematics: Insertion into the Cambodian border
#53126: 	#ame Night Guard
#53127: 	#ame Get ready for the night guard shift.
	
#53150: 	#ame SF B-Team base at Pleiku 
#53151: 	#ame March 17, 1967, 1600
#53152: 	#ame Nui Pek Hill
#53153: 	#ame March 18, 1967, 0855
#53154: 	#ame SF Camp under construction at Nui Pek
#53155: 	#ame April 27, 1967, 1430
#53156: 	#ame SF Camp under construction at Nui Pek
#53157: 	#ame May 14, 1967, 2100
#53160: 	#ame SF Camp under construction at Nui Pek
#53161: 	#ame May 16. 1967, 1300
#53158: 	#ame Go to see the captain with Nguyen
#53159: 	#ame Go to the guard post and take over from Hornster on guard duty.
	
#51500: 	#ame Another swamp area for you to kill anyone in your sight!
#51501: 	#ame Another swamp area for you to grease any enemy you come in contact with!
#51502: 	#ame Another swamp area, another downed American chopper, and another pilot to rescue or to kill. It just depends if you are SF or VC.
#51503: 	#ame One of our chopper's has crashed in the swamp. Find the pilot and bring him to the LZ. Watch out for the Vietcong!
#51504: 	#ame We have shot down an American chopper and it crashed in the swamp. Find it's pilot and kill him! Watch out, there are Americans near for sure.
#51505: 	#ame Another swamp area, another place to conquer! Occupy whole area by claiming all flags to win!
#51506: 	#ame You must claim all the flags in the swamp to win.
#51507: 	#ame Both teams have their own flag. Stealing enemy's flag and defending yours is your goal!
#51508: 	#ame 
#51509: 	#ame 
#51510: 	#ame Another muddy area we have to cross. And there's an enemy behind every tree! Sweep the area and take them out.
#51511: 	#ame One team attacks, while the other defends. The attackers must capture a number of flags in order, while the defenders must stop them for as long as they can. The flags also act as re-spawn points for the attacking team, so it is essential that the defending team stop the attackers from getting a foothold. Once the last flag has been turned, the defenders will become attackers. After the two rounds, the team who took the least amount of time to turn all the flags takes the point.
#51512: 	#ame A big muddy hill, littered with craters and bodies. There are enemies everywhere. You have to reach the top of the hill!
#51513: 	#ame A big muddy hill, littered with craters and bodies. The defenders base is at the top. One team attacks, while the other defends. The attackers must capture a number of flags in order, while the defenders must stop them for as long as they can. The flags also act as re-spawn points for the attacking team, so it is essential that the defending team stop the attackers from getting a foothold. Once the last flag has been turned, the defenders will become attackers. After the two rounds, the team who took the least amount of time to turn all the flags takes the point.
#51514: 	#ame This picturesque stream in the middle of the Vietnamese jungle used to be peaceful place, but no longer. The U.S. and the Vietcong are locked in a battle over this jungle territory. Stealing enemy's flag and defending yours is your goal!
#51515: 	#ame The VC has a base somewhere in this valley. Marked by a flag. Steal their flag and bring it back to our own flag! But be careful; don't let the enemy to steal ours!
#51516: 	#ame The U.S. has built a base somewhere nearby. Find them, kill them and get bring their flag back here! But be careful, do not let them steal our flag.
#51517: 	#ame A crystal clear stream flows through a small rocky valley in the Vietnamese jungle. A man with an AK47 shoots dead his enemy just before he sets off a boobytrap, ripping away his lower body. It's death match, kill or be killed!
#51518: 	#ame This small rocky valley has been chosen as a camp for both the U.S. Special Forces and the VC guerrillas. The valley is too small for both teams, so some room has to be made. Kill the enemy!
#51519: 	#ame A U.S plane has crashed in a small valley. The pilot survived, but there's a group of VC trying to track him down. American Special Forces are near by and need to rescue the pilot before the Vietcong find him and kill him.
#51520: 	#ame This is a Search and rescue mission for downed pilot. You will need to lead the pilot to the LZ while making sure Charlie doesn't send you all home in a box!
#51521: 	#ame An American plane was shot down and crashed. Go to the wreck and make sure the pilot is dead. Watch out for the U.S, they are here for sure!
#51522: 	#ame This small rocky valley plays host to a bloody battle. The team who occupies the whole area by claiming all of the flags wins!
#51523: 	#ame The small Jarai village has become a battleground for the Vietnamese and American soldiers. Both teams have their own flag. Stealing enemy's flag and defending yours is your goal!
#51524: 	#ame Find the Vietcong flag and bring it to where our flag is, but watch out they don't do they same with our flag. 
#51525: 	#ame Find the American flag. Steal it and defend our own and we shall be victorious.
#51526: 	#ame An American helicopter crashed near the Jarai village. American headquarters sent a rescue squad to find the pilot. There is a cell of Vietcong operating nearby so it won't be easy for them.
#51527: 	#ame Hurry, guys, we have to find the pilot before Charlie gets him; he's around here for sure. When you find the pilot, bring him to the LZ and a chopper will pick you up.
#51528: 	#ame Time is of the essence! Although we managed to shot down one of the damned American flying machines, we have to the pilot is dead! Go go go!
#51529: 	#ame The small village of the Jarai tribe has changed into a killing zone! It's death match, kill or be killed!
#51530: 	#ame The small Jarai village has become unfortunate enough to host a confrontation between the Green Berets and Vietcong. Eliminate the enemy!  
#51531: 	#ame The Vietcong have taken the Jarai village. Your aim is to take the village back!
#51532: 	#ame 
#51533: 	#ame Some call this the bridge of death and you'll see why.. It's death match!!
#51534: 	#ame Find the enemy and eliminate them - take no prisoners!
#51535: 	#ame One side of the gorge is held by the Green Berets, the other by the VC. Each team has to capture the others flag and at the same time defend their own.
#51536: 	#ame The bridge across the gorge is very important strategic area, which must be either held, or destroyed. 
#51537: 	#ame The enemy is trying to destroy our bridge! Defend it at all cost!
#51538: 	#ame The enemy is holding a strategically important bridge across the gorge. We have to destroy it!
#51539: 	#ame Sweep across the bridge like an arrow of fire and destroy all enemies you find. 
#51540: 	#ame One team attacks, while the other defends. The attackers must capture a number of flags in order, while the defenders must stop them for as long as they can. The flags also act as re-spawn points for the attacking team, so it is essential that the defending team stop the attackers from getting a foothold. Once the last flag has been turned, the defenders will become attackers. After the two rounds, the team who took the least amount of time to turn all the flags takes the point.
#51541: 	#ame A deserted temple is an ideal place for hiding ammo stores. The enemy wants to destroy it.
#51542: 	#ame We have an ammo store hidden in the tunnels underneath the old temple. The enemy have found out, defend it at all cost and don’t let them blow it up!
#51543: 	#ame The enemy have built an ammo store in the tunnels underneath the old temple. Your mission is simple blow it up!
#51544: 	#ame This deserted temple is an ideal place for a shootout! Both teams have their own flag. Stealing enemy's flag and defending yours is your goal!
#51545: 	#ame Find the Vietcong flag and bring it to where our flag is, but watch out they don't do they same with our flag.
#51546: 	#ame Find the American flag. Steal it and defend our own and we shall be victorious.
#51547: 	#ame A deserted temple is an ideal place for a shootout! 
#51548: 	#ame This deserted temple has a curse that makes a man want to kill anything, even your own brothers in arms. It's death match, kill or be killed!
#51549: 	#ame The VC guerrillas are hiding in this old deserted temple. The Americans have to drive them out!
#51550: 	#ame The VC is attacking the American base! They have no chance of making it into the inner perimeter, so they will try to blow up the advance bunker. 
#51551: 	#ame Charlie is attacking our base! And are trying to blow up the advance bunker at the outer perimeter; stop them!
#51552: 	#ame Comrades, today, the imperialists will pay for their crimes! We will invade their base and kill them all! But before we can do that, we must blow up their advance bunker!
#51553: 	#ame The unfinished outer perimeter of the American base and adjacent jungle turns into another battlefield. The team who occupies the whole area by claiming all of the flags wins!
#51554: 	#ame Both teams have their own flag. Stealing enemy's flag and defending yours is your goal!
#51555: 	#ame Find the Vietcong flag and bring it to where our flag is, but watch out they don't do they same with our flag. 
#51556: 	#ame Find the American flag. Steal it and defend our own and we shall be victorious.
#51557: 	#ame 
The Vietcong have attacked an American base. The U.S. knows that only quick counterattack can save the base. So go show the VC who is boss.

#51558: 	#ame An American chopper has crashed near an NVA base in Cambodia. The Vietnamese have sent out a team to kill the pilot, it's your job to rescue him.
#51559: 	#ame Rescue the pilot before the VC kill him.
#51560: 	#ame  We must capture the American pilot and kill him!
#51561: 	#ame A merciless battle rages in the Cambodian jungle near the Vietnamese border! The team who occupies the whole area by claiming all of the flags wins!
#51562: 	#ame Both teams have their own flag. Stealing enemy's flag and defending yours is your goal!
#51563: 	#ame Find the Vietcong flag and bring it to where our flag is, but watch out they don't do they same with our flag. 
#51564: 	#ame Find the American flag. Steal it and defend our own and we shall be victorious.
#51565: 	#ame It's death match, kill or be killed!
#51566: 	#ame Work as a team and kill your enemy to win.
#51567: 	#ame This small well-hidden NVA camp in Cambodia is a place the Americans have to erase off the map. Eliminate all remaining resistance in the area!
#51568: 	#ame Both teams have their own flag. Stealing enemy's flag and defending yours is your goal!
#51569: 	#ame One team attacks, while the other defends. The attackers must capture a number of flags in order, while the defenders must stop them for as long as they can. The flags also act as re-spawn points for the attacking team, so it is essential that the defending team stop the attackers from getting a foothold. Once the last flag has been turned, the defenders will become attackers. After the two rounds, the team who took the least amount of time to turn all the flags takes the point.
#51570: 	#ame Work as a team and kill your enemy to win.
#51571: 	#ame It's death match, kill or be killed!
#51572: 	#ame A small training range, the team's task is to blow up the target or to defend it respectively.
#51573: 	#ame Blow up the enemy box!
#51574: 	#ame Don't let the enemy blow up the box!
#51575: 	#ame The team who occupies the whole area by claiming all of the flags wins!
#51576: 	#ame Both teams have their own flag. Stealing enemy's flag and defending yours is your goal!
#51577: 	#ame Find the Vietcong flag and bring it to where our flag is, but watch out they don't do they same with our flag. 
#51578: 	#ame Find the American flag. Steal it and defend our own and we shall be victorious.
#51579: 	#ame There is an artillery outpost in the jungle with a radio in the underground bunker; this has to be destroyed before attackers can continue with their mission. Attackers are to get into the underground bunker and destroy the radio; defenders have to stop them.
#51580: 	#ame Stop the enemy destroying our radio in the underground bunker. 
#51581: 	#ame Destroy the enemy's radio communications that is located somewhere in the underground bunker.
#51582: 	#ame The team who occupies the whole area by claiming all of the flags wins!
#51583: 	#ame Location: NVA artillery outpost in Cambodia. Objective: eliminate the enemy. 
#51584: 	#ame Both teams have their own flag. Stealing enemy's flag and defending yours is your goal!
#51585: 	#ame Find the Vietcong flag and bring it to where our flag is, but watch out they don't do they same with our flag. 
#51586: 	#ame Find the American flag. Steal it and defend our own and we shall be victorious.
#51587: 	#ame Hamburger Hill
#51588: 	#ame It's death match, kill or be killed!
#51589: 	#ame The team who occupies the whole area by claiming all of the flags wins!
#51590: 	#ame Find the Vietcong flag and bring it to where our flag is, but watch out they don't do they same with our flag. 
#51591: 	#ame Find the American flag. Steal it and defend our own and we shall be victorious.
#51592: 	#ame Both teams have their own flag. Stealing enemy's flag and defending yours is your goal!
#51593: 	#ame Find the Vietcong flag and bring it to where our flag is, but watch out they don't do they same with our flag. 
#51594: 	#ame Find the American flag. Steal it and defend our own and we shall be victorious.
#51595: 	#ame The team who occupies the whole area by claiming all of the flags wins!
#51596: 	#ame Location: Jarai tribe. Orders: Defend the village, clear the area around the village and kill the remains of the enemy forces.
#51597: 	#ame Swamp
#51598: 	#ame There are strong Vietcong forces in the area. Fight your way to the LZ and hope the slick arrives in time.
	
	
#54600: 	#ame Claymore
#54601: 	#ame DP2
#54602: 	#ame DP Pan magazine
#54603: 	#ame M14
#54604: 	#ame M14 magazine
#54605: 	#ame M14 with optics
#54606: 	#ame Scorpion
#54607: 	#ame Scorpion magazine
#54608: 	#ame Sten II s
#54609: 	#ame Sten magazine
#54610: 	#ame Tokarev SVT40
#54611: 	#ame SVT40 magazine
#54612: 	#ame SVT40 with optics
#54620: 	#ame Swamp
	
	
	
#53200: 	#ame Golden gift\n
	5 SF, A-216 team\n
	\n\n
	Location: area surrounding the Nui Pek hill and the Jarai tribe village, \n
 Plei Ku prov., II. CTZ\n
	\n
	Mission start date: \n
\t March 18, 1967, time: 0900\n\n
	Assumed mission completion date: \n
\t March 18, 1967, time: 1900\n
	\n
	Primary mission objective: \n
Establish closer and friendly contact with the Montagnards at all costs \n 
Final reconnaissance of the area chosen for the base.\n\n
	Secondary mission objective: \n
\t Battle reconnaissance, determine the strength of the enemy units in the area.\n
	\n
	Team: \n
SFC Douglas, SFC Defort, SSGT Crocker, sgt Nguyen Nham, SFC Bronson\n
	\n
	Call sign: Viper One\n
	\n
	Situation:\n
	\t Upon evaluating all the information and data supplied by intelligence, command has issued an order to build a new camp designed to train the Montagnards for the CIDG project in the Nui Pek area. The primary mission objective is to contact the Jarai tribe mountaineers in the nearby village and persuade them to cooperate. At the same time, the team should try to determine the strength of the enemy in the area. It is assumed that at least one branch of the Ho-Chi-Minh trail from Cambodia to this part of Vietnam leads through the area. The scanty information obtained by the LLBD’s reconnaissance shows there is relatively weak guerilla unit activity, who also seem to steer clear of the local residents as the locals are hostile towards them. Upon establishing contact with the villagers, the team surveys the area and transfers to the landing zone and waits for the chopper.\n
	\n
	Course of action: \n
	\t The team lead by SFC Douglas will be dropped off at 0855 and 0900 in the “Michigan” landing zone, coordinates Alpha – Tango – Charlie, 500 meters southeast of the village. Following the reconnaissance and scouting for possible traces of the enemy, the team will transfer to the village where they will try to accomplish the primary mission objective. If they run into the enemy, they should kill them and possibly collect intelligence information.\n
	
	
	
	
#53205: 	#ame Operation “Pandora’s Box”\n
	5 SF, A-216 team\n
	\n\n
	Location: deserted village and temple in Ai Tu, \n
Plei Ku prov., II. CTZ\n
	\n
	Mission execution date:\n
	\t  April 28, 1967\n\n
	Assumed mission execution time:\n
\t 1900 – 2000\n
	\n
	Primary mission objective:\n
Destroy the underground ammunition factory \n
\t Kill the North Vietnamese overseeing the manufacturing process in the factory.\n
	\n
	Secondary mission objective: \n
Disrupt the logistic structure of the VC in the area where the A-216 team operates \n
Kill as many enemies as possible.\n
	\n
	Team: \n
SFC Douglas, SFC Defort, SSGT Crocker, sgt Nguyen Nham, SFC Bronson, SFC Hornster\n
	                6 CIDG members – future commanders of individual CIDG training platoons\n
	\n
	Call sign: “Hammer 1” and “Hammer 2”.\n
	\n
	Situation: \n
