#100: 	#ame  Not available in demo
#101: 	#ame  Game inactive - waiting for both sides
#102: 	#ame  US
#103: 	#ame  VC
#104: 	#ame  to take ammo
#105: 	#ame  Ammo full
#106: 	#ame  You have to drop
#107: 	#ame  to pick up
#108: 	#ame  You already have
#8414: 	#ame Normal
#8415: 	#ame Hard
#8416: 	#ame Vietnam
#8417: 	#ame Tutorials
#8440: 	#ame Knife
#8441: 	#ame Pistol
#8442: 	#ame Main weapon
#8443: 	#ame Equipment
#8444: 	#ame Grenades
#8445: 	#ame Map
#8446: 	#ame Medikit
	
	
	
#8450: 	#ame Level
#8451: 	#ame Difficulty
#8452: 	#ame Side
#8453: 	#ame Play
#8455: 	#ame Easy
#8456: 	#ame Normal
#8457: 	#ame Hard
#8458: 	#ame Vietnam
#8460: 	#ame Accompanied
#8461: 	#ame Number of Enemies
#8462: 	#ame Enemies
#8463: 	#ame Weapon 1
#8464: 	#ame Weapon 2
#8470: 	#ame Select if you are playing the mission alone or with some team members.
#8471: 	#ame Select how many enemies should be in the level.
#8472: 	#ame Select the type of the enemy. You are selecting how they look, how they act and which weapons they have.
#8473: 	#ame Select your pistol
#8474: 	#ame Select your main weapon.
#8480: 	#ame  Inventory settings
#8481: 	#ame  Available items:
#8482: 	#ame  Inventory content:
#8483: 	#ame  Add >
#8484: 	#ame  < Remove
#8485: 	#ame  Move Up
#8486: 	#ame  Move Down
#8487: 	#ame  OK
#8488: 	#ame  Cancel
#8489: 	#ame  Clear All
#8490: 	#ame  Default
	
#7000: 	#ame Objectives
#7001: 	#ame Players
#7002: 	#ame Results
#7003: 	#ame Help
	
#7010: 	#ame Send
#7011: 	#ame Send
#7012: 	#ame Save
#7013: 	#ame Save
#7014: 	#ame Delete
#7015: 	#ame Delete
#7016: 	#ame Quit
#7017: 	#ame Quit
#7018: 	#ame Ok
#7019: 	#ame Ok
	
#7020: 	#ame Custom name field
#7021: 	#ame List of specializations
#7022: 	#ame Combos with equipment
	
#2000: 	#ame Command
#2001: 	#ame Cover me
#2002: 	#ame Attack
#2003: 	#ame Hold
#2004: 	#ame Retreat
#2005: 	#ame Follow me
#2006: 	#ame Disperse
#2007: 	#ame Switch to Stealth
#2008: 	#ame Switch to Aggressive
#2009: 	#ame You cannot give commands now.
#2020: 	#ame Name
#2021: 	#ame Kills
#2022: 	#ame Deaths
#2023: 	#ame U.S. Special Forces
#2024: 	#ame Vietcong
	
#2080: 	#ame Briefing
#2081: 	#ame Diary
#2082: 	#ame Team info
#2083: 	#ame Equipment
#2084: 	#ame Documents
#2085: 	#ame Area map
#2086: 	#ame Tactical Operations Center
	
#2090: 	#ame Vietcong
#2091: 	#ame Continue
#2092: 	#ame Help
#2093: 	#ame Quit to the Main Menu
#2094: 	#ame Developer menu
#2095: 	#ame Restart
#2096: 	#ame Next level
#2097: 	#ame Quit to the Main Menu
#2098: 	#ame Load QuickSave
	
#2100: 	#ame Press USE
#2101: 	#ame to get healed by
#2102: 	#ame to take some ammo from
#2103: 	#ame to use the radio
#2104: 	#ame Radio
#2105: 	#ame to enter car as a driver
#2106: 	#ame to enter car as a passenger
#2107: 	#ame to get out
#2108: 	#ame to skip radio communication
#2109: 	#ame Press Fire
#2110: 	#ame to heal yourself
#2111: 	#ame to heal
#2112: 	#ame to take ammo from the box
#2113: 	#ame to give ammo to
#2114: 	#ame to exit helicopter
#2115: 	#ame to let pointman lead the team
#2116: 	#ame to use mounted M60
#2117: 	#ame to leave mounted M60
#2118: 	#ame to stop pointman
#2119: 	#ame to talk to pointman
#2120: 	#ame to enter helicopter
#2121: 	#ame to talk
#2122: 	#ame Game saved (AUTO SAVE)
#2123: 	#ame Game saved (QUICK SAVE)
#2124: 	#ame Objectives updated
#2125: 	#ame to examine
#2126: 	#ame to talk to Hornster
#2127: 	#ame to talk to Defort
#2128: 	#ame to talk to Crocker
#2129: 	#ame to talk to Bronson
#2130: 	#ame to talk to Nhut
#2131: 	#ame to talk to Cpt. Rosenfield
#2132: 	#ame to talk to soldier
	
#2150: 	#ame Alone
#2151: 	#ame Medic
#2152: 	#ame Half of the team
#2153: 	#ame Whole team
	
#2154: 	#ame VC local
#2155: 	#ame VC mainforce
#2156: 	#ame NVA
#2157: 	#ame SF
#2158: 	#ame LLDB
	
#2159: 	#ame Halong Port
#2160: 	#ame Kill all enemies and stay alive.
#2161: 	#ame Arroyo
#2165: 	#ame Ruins
#2166: 	#ame Kill all enemies and stay alive.
#2167: 	#ame Stream
#2168: 	#ame Kill all enemies and stay alive.
#2162: 	#ame Kill all enemies and stay alive.
#2163: 	#ame Storm
#2164: 	#ame Kill all enemies and stay alive.
#2169: 	#ame Waterfall
#2170: 	#ame Kill all enemies and stay alive.
#2190: 	#ame Few
#2191: 	#ame Several
#2192: 	#ame Loads!
#2193: 	#ame Too many!
	
#2201: 	#ame M16
#2202: 	#ame AK47
#2203: 	#ame M1 Garand
#2204: 	#ame PPS-41
#2205: 	#ame Colt M1911
#2206: 	#ame Revolver 38
#2207: 	#ame Makarov
#2208: 	#ame Tokarev
#2209: 	#ame Remington 870
#2210: 	#ame Winchester 70
#2211: 	#ame SVD Dragunov
#2212: 	#ame SKS Simonov
#2213: 	#ame M60
#2214: 	#ame Degtarev
#2215: 	#ame US-M3
#2216: 	#ame M2 .50 cal.
#2217: 	#ame Thompson
#2218: 	#ame S&W model 39
#2219: 	#ame PPS-43
#2220: 	#ame M1 Carbine
#2221: 	#ame Mosin-Nagant
#2222: 	#ame M79
#2223: 	#ame Baikal IZH-43
#2224: 	#ame Knife
#2230: 	#ame Medkit
#2231: 	#ame Medbag
#2232: 	#ame AmmoBag
#2233: 	#ame Radio
#2234: 	#ame Grenade
#2235: 	#ame Booby-Trap
#2236: 	#ame Intel
#2237: 	#ame Lightstick
	
#2041: 	#ame M16 magazine 
#2042: 	#ame AK47 magazine
#2043: 	#ame .30-06 ammo for M1
#2044: 	#ame PPS-41 magazine
#2045: 	#ame Colt M1911 magazine
#2046: 	#ame Revolver speedloader
#2047: 	#ame Makarov magazine
#2048: 	#ame Tokarev magazine
#2049: 	#ame Shotgun shells
#2050: 	#ame .30-06 ammo for Winchester 70
#2051: 	#ame SVD Dragunov magazine
#2052: 	#ame SKS Simonov clip
#2053: 	#ame Ammo box for M60
#2054: 	#ame Degtarev ammo drum
#2055: 	#ame US-M3 magazine
#2057: 	#ame Thompson magazine
#2058: 	#ame S&W model 39 magazine
#2059: 	#ame PPS-43 magazine
#2060: 	#ame M1 Carbine magazine
#2061: 	#ame 7.62x54mm ammo for Mosin-Nagant
#2062: 	#ame M79 grenade
#2063: 	#ame Shotgun shells
	
#2499: 	#ame US soldier
#2500: 	#ame Hawkins
#2501: 	#ame Bronson
#2502: 	#ame Defort
#2503: 	#ame Hornster
#2504: 	#ame Kewley
#2505: 	#ame Crocker
#2506: 	#ame VC
#2507: 	#ame Le Duy Nhut
#2508: 	#ame LLDB
#2509: 	#ame Cpt. Rosenfield
#2510: 	#ame Villager
#2511: 	#ame Village chief
#2512: 	#ame Pilot
#2513: 	#ame Pilot
#2514: 	#ame CIDG
#2515: 	#ame Drill Sergeant
	
#2700: 	#ame Commander
#2701: 	#ame Pointman
#2702: 	#ame Medic
#2703: 	#ame Engineer
#2704: 	#ame Radioman
#2705: 	#ame Machinegunner
	
#2750: 	#ame Single Shot Mode
#2751: 	#ame Full Automatic Mode
#2752: 	#ame Double Shot Mode
#2760: 	#ame Mortars, fire!
	
#2800: 	#ame to read your Diary.
#2801: 	#ame to read mission briefing.
#2802: 	#ame to read personal records.
#2803: 	#ame to read documents.
#2804: 	#ame to change radio channel.
#2805: 	#ame to disarm trap.
#2806: 	#ame to cut the wire.
#2807: 	#ame to press activator.
#2808: 	#ame to place C-4.
#2809: 	#ame to remove cover.
#2810: 	#ame to close cover.
#2811: 	#ame to proceed to mission.
#2812: 	#ame to look at weapon cards.
#2813: 	#ame to open the door.
#2814: 	#ame to close the door.
#2815: 	#ame to get ammo from the ammo crate.
#2816: 	#ame to kick out the door.
#2817: 	#ame to open the crate.
#2818: 	#ame to close the crate.
#2819: 	#ame to disarm boobytrap on the soldier.
#2820: 	#ame to get grenades from the ammo crate.
	
	
	
	
	
	
	
	
#1000: 	#ame Local network TCP/IP 
#1001: 	#ame Single game 
#1002: 	#ame Gamespy 
	
#1003: 	#ame Press Fire
#1004: 	#ame to recover!
#1005: 	#ame Auto
#1006: 	#ame Cancel
#1007: 	#ame Select your side
#1008: 	#ame Select your class
#1009: 	#ame Select your weapon
#1010: 	#ame US Army
#1011: 	#ame Vietcong
#1012: 	#ame Class limit reached
#1013: 	#ame Map end rule:
#1014: 	#ame point(s)
#1015: 	#ame frags
#1016: 	#ame No limit
#1017: 	#ame all
#1018: 	#ame team
#1019: 	#ame Map ends in 60 seconds!
#1020: 	#ame Map ends in 30 seconds!
#1021: 	#ame Map ends in 10 seconds!
#1022: 	#ame Server changed
#1023: 	#ame to pilot
#1024: 	#ame Unknown console command
#1025: 	#ame Start voting : kick player
#1026: 	#ame Vote: Do you want to kick
#1027: 	#ame out ?
#1028: 	#ame Please answer 'y' or 'n' using chat
#1029: 	#ame You voted
#1030: 	#ame NO
#1031: 	#ame YES
#1032: 	#ame TEAMKILLER
	
#1033: 	#ame Auto Balance
#1034: 	#ame swapped to
#1035: 	#ame Server settings :
#1036: 	#ame Auto Balance is
#1037: 	#ame This command is valid on server only
#1038: 	#ame OFF
#1039: 	#ame ON
#1040: 	#ame Friendly fire is
#1041: 	#ame Vietnam mode is
#1042: 	#ame Enemy camera is
#1049: 	#ame Vietcong win. 
#1050: 	#ame Vietcong: DeathMatch
#1051: 	#ame Vietcong: Team DeathMatch
#1052: 	#ame Vietcong: Last Man Standing is King of the jungle
#1053: 	#ame Starting Last Man Standing!
#1054: 	#ame Kill King of the jungle
#1055: 	#ame You're King of the jungle. Kill everyone!
#1056: 	#ame Prepare for Last Man Standing!
#1057: 	#ame King of the jungle is:
#1058: 	#ame You killed everyone!
#1059: 	#ame Waiting for players
#1060: 	#ame Starting LMS phase.
#1061: 	#ame LMS time left:
#1062: 	#ame LMS time limit reached
#1063: 	#ame Starting King of the jungle phase
#1064: 	#ame King of the jungle time left:
#1065: 	#ame King of the jungle wins!
#1066: 	#ame King of the jungle killed!
#1067: 	#ame Flag stolen!
#1068: 	#ame Flag dropped!
#1069: 	#ame Flag returned!
#1070: 	#ame score
#1071: 	#ame Vietcong: Capture the flag
#1072: 	#ame Vietcong: Assault Team Game
#1073: 	#ame to place bomb
#1074: 	#ame to disarm bomb
#1075: 	#ame Bomb activated. Time to detonation: 
#1076: 	#ame Waiting for more players.
#1077: 	#ame US Army win. Bomb exploded.
#1078: 	#ame Vietcong win. Bomb exploded.
#1079: 	#ame Vietcong win. All US soldiers have been killed
#1080: 	#ame US Army win. All Vietcong fighters have been killed.
#1081: 	#ame VIETCONG WIN.
#1082: 	#ame DRAW. Both sides are dead.
#1083: 	#ame Vietcong: Capture the Radio
#1084: 	#ame Watching 
#1085: 	#ame Press Shoot/Aim to switch to Next/Prev player
#1086: 	#ame Say to All:
#1087: 	#ame Say to Team:
#1088: 	#ame joined the game
#1089: 	#ame left the game
#1090: 	#ame Vietcong: Save the Pilot
#1091: 	#ame Waiting for players (US Pilot and any Vietcong are required)
#1092: 	#ame Escort Pilot to the LZ!
#1093: 	#ame REACH THE LZ!
#1094: 	#ame Kill the US pilot!
#1095: 	#ame VIETCONG WIN. PILOT KILLED.
#1096: 	#ame US ARMY WIN. ALL VIETCONG ELIMINATED.
#1097: 	#ame US ARMY WIN. PILOT REACHED THE LZ.
#1098: 	#ame Vietcong: Cooperative
#1099: 	#ame US ARMY WIN. 
#1100: 	#ame Soldier
#1101: 	#ame  The "Soldier" is the most well rounded type of troop, who can use a variety of weapons, but he'll steer away from the cumbersome, high calibre machine guns and sniper rifles. This enables him to carry a stash of grenades, and plenty of ammo. A good soldier will lead the assault, using rifles, grenades and when he reaches the enemy, knives. The backbone of the SF team, otherwise known as a "grunt".
#1102: 	#ame Machinegunner
#1103: 	#ame He's one big guy with an even bigger gun: the M-60! (or Pig as it was affectionately known). He is the heavy artillery of the SF team, able to unload 600 rounds of red hot 7.62 in one "mad minute". The Machinegunner is useful in either defence or attack, the power of the M-60 coupled with a skillful gunner is unrivalled anywhere on the battlefield. The weight of the M-60 (plus belts of ammo) means that "normal" grunts struggle with the "Pig" - leaving it to the big guy in the corner with a crazy look in his eye.
#1104: 	#ame Sniper
#1105: 	#ame Snipers are sharpshooters, trained solely to kill. They are able to hit targets over one kilometer away, with shocking accuracy. A sniper moves slowly, sometimes sitting dead still for days, going to the toilet in his pants, just to loose off that one, deadly bullet. For this reason, it takes a certain type of calm, calculating individual for the job. During the battles, the sniper is happy to hang back, avoiding rushing in to combat. He will have his moment... 
#1106: 	#ame Medic
#1107: 	#ame He's a soldier, like everyone else, but most grunts stay good friends with this guy, because when you take an AK round to the torso, he's the one who'll be stuffing your guts back in. Every army unit needs a medic, but he has to carry a weapon, and fight like everyone else, this makes his job one of the hardest. His time split between fighting, and patching up his comrades. Equipped with a rifle, grenades and medi-kit, he is one of the most valuable team members, making sure that everyone else is fighting-fit.
#1108: 	#ame Engineer
#1109: 	#ame The engineer. Highly trained, and specialised in the art of blowing things up. He is trained to use and recognise dozens of different explosives, US, Soviet or VC/NVA. He is a walking demolition service, used to destroy bridges, vehicles etc during insurgency missions. He can shoot, and can use several different weapons effectively, but he prefers good old C4. He also keeps large stocks of ammo for the team, which can be vital in sustained attack/defence operations.
#1110: 	#ame Radioman
#1111: 	#ame Information can be the deadliest weapon of all. The Radioman is the hub of the SF team, the only link between the grunts and the ever present "Six". He has the power of life and death, he can save your life by calling in artillery on that nasty VC machine gun nest, but if he gives the coordinates 100 metres short... Of course he is armed with more than just his transceiver. His weapons of choice are shotguns, or rifles because he knows that if him or his radio get hit, the whole unit loses it's lifeline.
#1112: 	#ame DM - US
#1113: 	#ame DM - Vietcong
#1114: 	#ame Class
#1115: 	#ame Points
#1116: 	#ame Frags
